standard_span,dialect_span,category,n_occurrences,delta_nll_swap_mean,delta_nll_swap_std,delta_nll_swap_median,dialects,tasks
nó vả không,hắn bả nỏ,Pronouns,1,0.0472455024719238,,0.0472455024719238,PNT3,SENT
cây,cơn,Predicate vocabulary,3,0.04696289698282874,0.012629482078110694,0.0542545318603515,PNT3,MCQA
miền,vùng,Predicate vocabulary,3,0.046831846237182596,0.0,0.0468318462371826,PNB,MCQA
cạnh,kế bên,Predicate vocabulary,2,0.04678344726562495,0.03144660661094829,0.04678344726562495,PNN,MCQA
thằng,đứa,Predicate vocabulary,1,0.0464205741882324,,0.0464205741882324,PNT4,SENT
kia,trước,Demonstratives/Deixis,1,0.0461852550506591,,0.0461852550506591,PNN,MCQA
điều,việc,Predicate vocabulary,1,0.0453157424926757,,0.0453157424926757,PNT1,MCQA
lũ,bọn,Pronouns,2,0.0448036193847656,0.004487796429439999,0.0448036193847656,"PNT3, PNT4",SENT
lớn,nậy,Predicate vocabulary,1,0.0448017120361328,,0.0448017120361328,PNT2,SENT
này,rồi,Demonstratives/Deixis,1,0.0447702407836914,,0.0447702407836914,PNT3,SENT
siêng năng,chăm chỉ,Idiomatic expressions,1,0.0447330474853515,,0.0447330474853515,PNB,MCQA
trất,tốt nhứt,Predicate vocabulary,1,0.0444674491882324,,0.0444674491882324,PNT4,SENT
đã,từng,Connectives/Aspect markers,1,0.0443053245544433,,0.0443053245544433,PNB,QA
những chiếc,mấy cái,Negation/Function words,1,0.0438125133514404,,0.0438125133514404,PNN,MCQA
mắng,chưởi,Predicate vocabulary,4,0.04362988471984857,0.03925631557122372,0.05225741863250725,"PNT2, PNT3","MCQA, SENT"
để,được,Negation/Function words,1,0.0435643196105957,,0.0435643196105957,PNB,MCQA
tình,ý,Predicate vocabulary,1,0.0433998107910156,,0.0433998107910156,PNN,QA
xơi,ăn,Predicate vocabulary,4,0.0433759689331054,0.0,0.0433759689331054,"PNB, PNN, PNT3, PNT4",SENT
mến,quý,Predicate vocabulary,1,0.0430026054382324,,0.0430026054382324,PNT3,MCQA
khuất,mất,Predicate vocabulary,1,0.0424506664276123,,0.0424506664276123,PNN,MCQA
hốt,sợ,Predicate vocabulary,1,0.0423011779785156,,0.0423011779785156,PNT4,MCQA
bẩn,nhớp,Predicate vocabulary,1,0.0422205924987793,,0.0422205924987793,PNT4,SENT
vì,tại anh,Predicate vocabulary,1,0.0418493747711181,,0.0418493747711181,PNN,MCQA
ngạc nhiên,bất ngờ,Predicate vocabulary,1,0.0416357517242431,,0.0416357517242431,PNT4,MCQA
giai đoạn,thời gian,Predicate vocabulary,1,0.0415523052215576,,0.0415523052215576,PNT4,QA
mẩu,miếng,Predicate vocabulary,3,0.0415217876434326,0.0,0.0415217876434326,"PNN, PNT4",MCQA
ấy,đó,Demonstratives/Deixis,5,0.04112858772277828,0.017395669566249265,0.0509967803955078,PNN,SENT
các,những,Pronouns,1,0.0397491455078125,,0.0397491455078125,PNT3,QA
hoặc sang,hay qua,Predicate vocabulary,1,0.0394237041473388,,0.0394237041473388,PNT4,NLI
giờ,chừ,Demonstratives/Deixis,2,0.03894305229187005,0.013974883441848182,0.03894305229187005,PNT1,SENT
người bố,ba,Kinship/Honorific terms,1,0.0387439727783203,,0.0387439727783203,PNN,MCQA
thôi thúc,giục,Predicate vocabulary,1,0.0387217998504638,,0.0387217998504638,PNT1,MCQA
cái,thứ,Negation/Function words,1,0.0384926795959472,,0.0384926795959472,PNB,QA
lạ,cách,Predicate vocabulary,1,0.0382723808288574,,0.0382723808288574,PNT1,SENT
vậy,thế,Demonstratives/Deixis,2,0.0380291938781738,0.03660302064516504,0.0380291938781738,"PNB, PNN","MCQA, SENT"
dơ,dớp,Predicate vocabulary,1,0.037978172302246,,0.037978172302246,PNT3,SENT
chớ,chứ,Discourse particles,1,0.0379643440246582,,0.0379643440246582,PNB,SENT
nào,nô,Interrogatives,1,0.0378446578979492,,0.0378446578979492,PNT4,SENT
này nọ,ni kêu tê,Demonstratives/Deixis,1,0.037755012512207,,0.037755012512207,PNT3,SENT
gọi,hú,Predicate vocabulary,4,0.03769284486770622,0.01087534427642825,0.0322551727294921,"PNT1, PNT2, PNT3",MCQA
mang,đem,Predicate vocabulary,1,0.0375137329101562,,0.0375137329101562,PNT4,MCQA
chúng,hắn,Pronouns,1,0.0374658107757568,,0.0374658107757568,PNT3,MCQA
bạn,nó,Pronouns,2,0.0370081663131714,0.10009724792682692,0.0370081663131714,PNT4,MCQA
nhưng làm,chơ mần,Predicate vocabulary,1,0.0365691184997558,,0.0365691184997558,PNT3,SENT
ấy chứ,đó chớ,Demonstratives/Deixis,1,0.0357904434204101,,0.0357904434204101,PNT4,SENT
ấy,ta,Demonstratives/Deixis,1,0.0356326103210449,,0.0356326103210449,PNB,NLI
giờ,dừ,Demonstratives/Deixis,2,0.03482818603515625,0.08441507994549938,0.03482818603515625,PNT2,SENT
thế kia,rứa,Demonstratives/Deixis,2,0.03436374664306635,0.034169293024752016,0.03436374664306635,"PNT3, PNT4",SENT
cảnh sát,công an,Predicate vocabulary,1,0.0342941284179687,,0.0342941284179687,PNB,SENT
vội vàng,lật đật,Predicate vocabulary,1,0.0342607498168945,,0.0342607498168945,PNT3,MCQA
đến,tới,Predicate vocabulary,46,0.03423190635183579,0.028761307160037834,0.03097391128540035,"PNN, PNT1, PNT3, PNT4","MCQA, NLI, QA, SENT"
thật,đại,Connectives/Aspect markers,1,0.0340499877929687,,0.0340499877929687,PNT3,SENT
lười thế,làm biếng vậy,Predicate vocabulary,1,0.0336761474609375,,0.0336761474609375,PNN,MCQA
bảo,nói,Predicate vocabulary,3,0.0334687232971191,0.030379808724051466,0.0400724411010742,PNT3,MCQA
nhé,hè,Discourse particles,1,0.0334084033966064,,0.0334084033966064,PNT2,MCQA
lúc,hồi,Connectives/Aspect markers,3,0.03304195404052727,0.01742992412707026,0.0229787826538085,"PNN, PNT4",SENT
dã man,khinh khủng,Idiomatic expressions,1,0.0328607559204101,,0.0328607559204101,PNB,SENT
như,mà,Connectives/Aspect markers,1,0.0328190326690673,,0.0328190326690673,PNN,QA
từ,hồi,Connectives/Aspect markers,1,0.0323672294616699,,0.0323672294616699,PNN,MCQA
nói,là,Predicate vocabulary,1,0.0322041511535644,,0.0322041511535644,PNN,MCQA
thế chân,vậy giò,Idiomatic expressions,1,0.0321297645568847,,0.0321297645568847,PNN,SENT
vậy,như rứa,Demonstratives/Deixis,1,0.0320143699645996,,0.0320143699645996,PNT2,SENT
tập làm,viết,Predicate vocabulary,1,0.031754732131958,,0.031754732131958,PNN,MCQA
bả,bà,Kinship/Honorific terms,1,0.0297780036926269,,0.0297780036926269,PNB,SENT
lại,về,Predicate vocabulary,1,0.0295119285583496,,0.0295119285583496,PNN,MCQA
mọc,lên,Predicate vocabulary,1,0.029447317123413,,0.029447317123413,PNB,MCQA
rất,thật,Predicate vocabulary,1,0.0293431282043457,,0.0293431282043457,PNB,MCQA
dàn,lần lần,Predicate vocabulary,1,0.0292062759399414,,0.0292062759399414,PNT4,QA
ấy chứ,đó bớt,Demonstratives/Deixis,1,0.029067039489746,,0.029067039489746,PNT4,SENT
tận,tuốt,Predicate vocabulary,1,0.0287275314331054,,0.0287275314331054,PNN,MCQA
ngờ,dè,Predicate vocabulary,2,0.028580904006958,0.1669483873986844,0.028580904006958,PNN,SENT
thục mạng,chết mẹ,Idiomatic expressions,1,0.0285258293151855,,0.0285258293151855,PNT4,SENT
thế kia,rứa tê,Demonstratives/Deixis,1,0.0276389122009277,,0.0276389122009277,PNT2,SENT
chuyên,hay,Predicate vocabulary,1,0.0271949768066406,,0.0271949768066406,PNT3,QA
chứ,chớ,Discourse particles,8,0.027065157890319786,0.087523357853104,0.04293751716613765,"PNT1, PNT4",SENT
gọi,kêu,Predicate vocabulary,13,0.027058784778301533,0.12340586108910792,0.0148353576660156,"PNN, PNT2, PNT3, PNT4","MCQA, NLI, QA, SENT"
mình đành,miềng thì,Pronouns,1,0.0264506340026855,,0.0264506340026855,PNT3,MCQA
dí,đuổi,Predicate vocabulary,2,0.0261893272399902,0.0,0.0261893272399902,PNB,SENT
chăm,lo,Predicate vocabulary,1,0.0259559154510498,,0.0259559154510498,PNT4,MCQA
luôn,cứ,Predicate vocabulary,1,0.0257031917572021,,0.0257031917572021,PNT1,MCQA
lầm lì,hầm hầm,Predicate vocabulary,1,0.0253181457519531,,0.0253181457519531,PNT4,SENT
này +,ni với,Demonstratives/Deixis,1,0.0246601104736328,,0.0246601104736328,PNT2,SENT
rớm,chớm,Predicate vocabulary,1,0.0244317054748535,,0.0244317054748535,PNT4,MCQA
từ,do,Connectives/Aspect markers,1,0.0243527889251709,,0.0243527889251709,PNN,QA
như thế nào lên,ra sao đến,Interrogatives,1,0.024271011352539,,0.024271011352539,PNN,QA
tôi,em,Pronouns,4,0.0242180824279785,0.0,0.0242180824279785,PNT3,MCQA
chép,lại,Predicate vocabulary,1,0.0230066776275634,,0.0230066776275634,PNN,MCQA
nấp mau,núp lẹ,Predicate vocabulary,1,0.022874116897583,,0.022874116897583,PNN,MCQA
trách,cười,Predicate vocabulary,1,0.0228548049926757,,0.0228548049926757,PNB,MCQA
phát khổ,phải khổi,Predicate vocabulary,1,0.0224437713623046,,0.0224437713623046,PNT3,SENT
thế,vậy,Demonstratives/Deixis,8,0.02198630571365356,0.05987066429557874,0.0140459537506103,PNN,"MCQA, SENT"
những,các,Negation/Function words,1,0.0219311714172363,,0.0219311714172363,PNN,MCQA
áo quần,đồ,Predicate vocabulary,1,0.0214524269104003,,0.0214524269104003,PNN,MCQA
khi các,lúc mấy,Predicate vocabulary,1,0.0211155414581298,,0.0211155414581298,PNN,MCQA
khóm,bụi,Predicate vocabulary,3,0.0196595191955566,0.0,0.0196595191955566,"PNB, PNN, PNT3",MCQA
nhiều,mấy,Negation/Function words,1,0.0193192958831787,,0.0193192958831787,PNN,MCQA
khuyên,dặn,Predicate vocabulary,1,0.0190083980560302,,0.0190083980560302,PNT1,MCQA
muốn gọi,ưng kêu,Predicate vocabulary,1,0.0183620452880859,,0.0183620452880859,PNT3,MCQA
đường không,đàng nỏ,Negation/Function words,1,0.0180888175964355,,0.0180888175964355,PNT3,SENT
mãi,hoài,Predicate vocabulary,2,0.0179700851440429,0.0,0.0179700851440429,"PNN, PNT4",MCQA
họ,ông ấy,Pronouns,1,0.0178043842315673,,0.0178043842315673,PNB,MCQA
má,mẹ,Kinship/Honorific terms,3,0.0177130699157714,0.0,0.0177130699157714,"PNB, PNT1, PNT4",SENT
kìm kẹp,khống chế,Idiomatic expressions,1,0.0172011852264404,,0.0172011852264404,PNB,MCQA
tại,ở,Predicate vocabulary,20,0.017167544364929205,0.09106526640596532,-0.0049805641174316,"PNB, PNN, PNT3, PNT4","MCQA, NLI, QA"
nhặt xem,lượm coi,Predicate vocabulary,2,0.0169920921325683,0.0,0.0169920921325683,"PNN, PNT4",SENT
lao,nhào,Predicate vocabulary,1,0.0166482925415039,,0.0166482925415039,PNN,SENT
kinh,ghê,Predicate vocabulary,2,0.0165977478027343,0.0,0.0165977478027343,"PNN, PNT3",SENT
cũng khá,cụng được,Predicate vocabulary,1,0.0162501335144042,,0.0162501335144042,PNT2,SENT
thời điểm,lúc,Connectives/Aspect markers,1,0.0155153274536132,,0.0155153274536132,PNB,MCQA
rời,bỏ,Predicate vocabulary,1,0.0149838924407958,,0.0149838924407958,PNT4,MCQA
dạt,tấp,Predicate vocabulary,1,0.0148146152496337,,0.0148146152496337,PNN,MCQA
hoa,bông,Predicate vocabulary,5,0.01478457450866692,0.01690386449247749,0.0024397373199462,PNN,MCQA
dữ vậy,kinh thế,Idiomatic expressions,1,0.0145106315612792,,0.0145106315612792,PNB,SENT
trước,bựa,Demonstratives/Deixis,1,0.0132994651794433,,0.0132994651794433,PNT3,MCQA
rứa,vậy,Demonstratives/Deixis,1,0.0128297805786132,,0.0128297805786132,PNN,SENT
nhé,nghe,Discourse particles,10,0.01282739639282226,0.04256783123764359,0.0164248943328857,"PNT3, PNT4","MCQA, SENT"
bạn,con,Kinship/Honorific terms,1,0.0127441883087158,,0.0127441883087158,PNT2,MCQA
cái này luôn thế,cấy ni rứa,Demonstratives/Deixis,1,0.012242317199707,,0.012242317199707,PNT3,SENT
mặc,lại,Connectives/Aspect markers,1,0.01202392578125,,0.01202392578125,PNB,MCQA
đưa ra,nói,Predicate vocabulary,1,0.0119936466217041,,0.0119936466217041,PNT3,MCQA
qua,bằng,Predicate vocabulary,1,0.0119776725769042,,0.0119776725769042,PNT3,MCQA
rơi,rớt,Predicate vocabulary,6,0.01173082987467445,0.011460130119987305,0.0080780982971191,"PNN, PNT3, PNT4",MCQA
kêu,bảo,Predicate vocabulary,1,0.0113310813903808,,0.0113310813903808,PNB,SENT
điều,cái,Negation/Function words,2,0.01077198982238765,0.003743651672131654,0.01077198982238765,PNN,"MCQA, QA"
không may,lỡ,Predicate vocabulary,1,0.0106139183044433,,0.0106139183044433,PNT4,SENT
cha,bố,Kinship/Honorific terms,14,0.010164993149893628,0.0713096294386154,-0.0031633377075195,"PNB, PNT1","MCQA, NLI, QA, SENT"
chứ đường,chơ đàng,Predicate vocabulary,1,0.009192943572998,,0.009192943572998,PNT3,SENT
ta,mình,Pronouns,4,0.008845567703247077,0.11238430778138765,-0.02712249755859375,"PNB, PNN, PNT3","MCQA, SENT"
tìm,kêu,Predicate vocabulary,1,0.0077183246612548,,0.0077183246612548,PNT4,MCQA
chết,mất,Predicate vocabulary,1,0.0076589584350585,,0.0076589584350585,PNB,MCQA
cái,ci,Negation/Function words,1,0.007051944732666,,0.007051944732666,PNT2,SENT
gì,như nào,Interrogatives,1,0.0070288181304931,,0.0070288181304931,PNN,MCQA
trút,quăng,Predicate vocabulary,1,0.0067121982574462,,0.0067121982574462,PNN,MCQA
đợi,chờ,Predicate vocabulary,1,0.0066657066345214,,0.0066657066345214,PNT3,MCQA
phân biệt,nhận biết,Predicate vocabulary,1,0.0061626434326171,,0.0061626434326171,PNT1,SENT
bận,mắc,Predicate vocabulary,2,0.0060393810272216,0.0,0.0060393810272216,"PNT3, PNT4",MCQA
sang,qua,Predicate vocabulary,1,0.0055408477783203,,0.0055408477783203,PNT3,NLI
vào,đoạn,Connectives/Aspect markers,1,0.0051827430725097,,0.0051827430725097,PNT3,QA
bố quát,bọ nạt,Kinship/Honorific terms,1,0.0036211013793945,,0.0036211013793945,PNT3,SENT
xuể,hết,Predicate vocabulary,1,0.0033652782440185,,0.0033652782440185,PNB,MCQA
hoa quả,trái cây,Predicate vocabulary,1,0.0033116340637207,,0.0033116340637207,PNN,MCQA
“tôi,“tui,Pronouns,2,0.0032961368560791,0.0,0.0032961368560791,"PNN, PNT2",MCQA
tao,tay,Pronouns,1,0.0023202896118164,,0.0023202896118164,PNT3,SENT
vùng,nơi,Predicate vocabulary,1,0.001338243484497,,0.001338243484497,PNB,MCQA
hết,nữa,Negation/Function words,1,0.0001635551452636,,0.0001635551452636,PNB,SENT
chừ,giờ,Demonstratives/Deixis,1,2.0503997802734375e-05,,2.0503997802734375e-05,PNB,SENT
chừ,giờ,Negation/Function words,1,2.0503997802734375e-05,,2.0503997802734375e-05,PNN,SENT
tao ghét,tau két,Pronouns,1,-0.0006871223449707,,-0.0006871223449707,PNT3,SENT
tỏ,ra,Predicate vocabulary,2,-0.0008587837219238,0.0,-0.0008587837219238,"PNN, PNT4",SENT
trước mẹ,bựa mạ,Kinship/Honorific terms,1,-0.0011181831359863,,-0.0011181831359863,PNT3,SENT
chóng,mau,Predicate vocabulary,1,-0.0011887550354003,,-0.0011887550354003,PNN,MCQA
phát ngôn,nói năng,Predicate vocabulary,1,-0.0012083053588867,,-0.0012083053588867,PNN,SENT
toét,lếu,Predicate vocabulary,1,-0.0016312599182128,,-0.0016312599182128,PNT4,SENT
bố bảo,ba nói,Kinship/Honorific terms,1,-0.0018272399902343,,-0.0018272399902343,PNT4,MCQA
sầm sì,âm u,Idiomatic expressions,1,-0.0018281936645507,,-0.0018281936645507,PNB,MCQA
nẻo,con,Predicate vocabulary,1,-0.0023858547210693,,-0.0023858547210693,PNN,MCQA
sau này,mai mốt,Predicate vocabulary,1,-0.0027785301208496,,-0.0027785301208496,PNN,SENT
túi,bao,Predicate vocabulary,1,-0.0033607482910156,,-0.0033607482910156,PNT2,MCQA
lười,làm biếng,Predicate vocabulary,4,-0.003665506839752246,0.0906091928482055,0.0416390895843505,PNN,"MCQA, SENT"
tý vào,tí,Predicate vocabulary,1,-0.0037803649902343,,-0.0037803649902343,PNB,SENT
tại,vì,Connectives/Aspect markers,1,-0.0044488906860351,,-0.0044488906860351,PNT3,SENT
kiếm,tìm,Predicate vocabulary,1,-0.0052728652954101,,-0.0052728652954101,PNB,SENT
ló rạng,ngoi lên,Predicate vocabulary,1,-0.0053052902221679,,-0.0053052902221679,PNT3,MCQA
tao lại,ta,Pronouns,1,-0.0057458877563476,,-0.0057458877563476,PNT4,SENT
thế nào,sao,Interrogatives,1,-0.0058975219726562,,-0.0058975219726562,PNN,SENT
hay,tốt,Predicate vocabulary,1,-0.0063796043395996,,-0.0063796043395996,PNB,SENT
bố điều,ba chuyện,Kinship/Honorific terms,1,-0.0064830780029296,,-0.0064830780029296,PNN,MCQA
giúp,phụ,Predicate vocabulary,1,-0.0069978237152099,,-0.0069978237152099,PNT4,MCQA
hạ,hè,Discourse particles,2,-0.0071344375610351,0.0,-0.0071344375610351,"PNT2, PNT3",MCQA
hạ,hè,Predicate vocabulary,1,-0.0071344375610351,,-0.0071344375610351,PNT4,MCQA
bố,cha,Kinship/Honorific terms,3,-0.007485310236612933,0.08211040912759723,-0.0544962882995605,"PNN, PNT3",MCQA
làm cha làm mẹ,mần bọ mần mạ,Kinship/Honorific terms,1,-0.0089683532714843,,-0.0089683532714843,PNT3,SENT
thân,cơ,Predicate vocabulary,1,-0.009045124053955,,-0.009045124053955,PNT4,QA
rời,đi,Predicate vocabulary,1,-0.0091767311096191,,-0.0091767311096191,PNT4,MCQA
hão huyền,viển vông,Idiomatic expressions,1,-0.010488748550415,,-0.010488748550415,PNB,MCQA
nhỉ,nghĩ,Discourse particles,1,-0.0105476379394531,,-0.0105476379394531,PNB,SENT
phúc đáp,phản hồi,Idiomatic expressions,1,-0.011472463607788,,-0.011472463607788,PNB,MCQA
dịu cơn,đỡ,Predicate vocabulary,1,-0.0117275714874267,,-0.0117275714874267,PNB,MCQA
vào,lên,Predicate vocabulary,1,-0.0119051933288574,,-0.0119051933288574,PNT3,MCQA
đến nơi nào,tới đâu,Interrogatives,1,-0.0119309425354003,,-0.0119309425354003,PNN,QA
gàn dở,khùng,Predicate vocabulary,1,-0.0119574069976806,,-0.0119574069976806,PNT4,MCQA
phúc đáp,hồi âm,Predicate vocabulary,1,-0.0125861167907714,,-0.0125861167907714,PNN,MCQA
bẩn,dơ,Predicate vocabulary,2,-0.012708067893981899,0.12355854403150711,-0.012708067893981899,PNN,"MCQA, SENT"
bố thích,bọ ưng,Kinship/Honorific terms,1,-0.0127284526824951,,-0.0127284526824951,PNT3,MCQA
sau,từ,Connectives/Aspect markers,1,-0.0129780769348144,,-0.0129780769348144,PNB,NLI
vẫn,cứ,Connectives/Aspect markers,1,-0.0132567882537841,,-0.0132567882537841,PNT4,MCQA
bất hạnh,khổ,Predicate vocabulary,1,-0.0135035514831542,,-0.0135035514831542,PNT4,SENT
với ạ,giùm cái,Discourse particles,1,-0.0140447616577148,,-0.0140447616577148,PNN,SENT
đấy,đó,Demonstratives/Deixis,8,-0.014050990343093863,0.047467386231982635,-0.0024113655090332,"PNN, PNT4",SENT
chiếc,cái,Negation/Function words,9,-0.01417875289916991,0.0437722662193576,-0.003962755203247,"PNB, PNN, PNT3, PNT4","MCQA, NLI"
thông tin,chuyện,Predicate vocabulary,1,-0.0142772197723388,,-0.0142772197723388,PNN,MCQA
cậu,anh,Pronouns,1,-0.0146708488464355,,-0.0146708488464355,PNT4,MCQA
gàn dở,khùng điên,Predicate vocabulary,1,-0.0147099494934082,,-0.0147099494934082,PNN,MCQA
đáng,để,Predicate vocabulary,1,-0.0150535106658935,,-0.0150535106658935,PNN,MCQA
dữ,hung,Predicate vocabulary,1,-0.0156059265136718,,-0.0156059265136718,PNT4,SENT
tới,đến,Predicate vocabulary,2,-0.0158758163452148,0.0,-0.0158758163452148,PNB,SENT
đem,mang,Predicate vocabulary,1,-0.0161733627319335,,-0.0161733627319335,PNB,SENT
ly,xa,Predicate vocabulary,1,-0.0166845321655273,,-0.0166845321655273,PNT3,SENT
làm,khiến,Predicate vocabulary,1,-0.0168242454528808,,-0.0168242454528808,PNB,NLI
sẽ,cũng,Connectives/Aspect markers,1,-0.0172171592712402,,-0.0172171592712402,PNT3,SENT
tao,tui,Pronouns,2,-0.0175552368164062,0.0,-0.0175552368164062,PNN,SENT
dạt,trôi,Predicate vocabulary,1,-0.018409252166748,,-0.018409252166748,PNB,MCQA
mắng,chửi,Predicate vocabulary,1,-0.0185475349426269,,-0.0185475349426269,PNT4,MCQA
như thế nào,gì,Interrogatives,2,-0.018589258193969702,0.09105236564899497,-0.018589258193969702,PNB,MCQA
đuổi,rượt,Predicate vocabulary,2,-0.0189461708068847,0.0,-0.0189461708068847,PNN,SENT
đó gọi,nớ kêu,Demonstratives/Deixis,1,-0.0191125869750976,,-0.0191125869750976,PNT3,SENT
chẳng,không,Negation/Function words,1,-0.019197940826416,,-0.019197940826416,PNT4,MCQA
cùng,chung với,Predicate vocabulary,1,-0.0199291706085205,,-0.0199291706085205,PNN,MCQA
cái,mấy,Negation/Function words,1,-0.0206742286682128,,-0.0206742286682128,PNT2,SENT
thấy,nghe,Predicate vocabulary,1,-0.0210330486297607,,-0.0210330486297607,PNT4,MCQA
ném,quăng,Predicate vocabulary,2,-0.0215263366699218,0.0,-0.0215263366699218,"PNN, PNT4",SENT
lui,quay,Predicate vocabulary,1,-0.021531343460083,,-0.021531343460083,PNB,MCQA
ko,hông,Negation/Function words,1,-0.0222907066345214,,-0.0222907066345214,PNN,SENT
nào,gì,Interrogatives,3,-0.022466897964477497,0.033945983060499216,-0.0420656204223632,"PNB, PNN",QA
gì,sao,Interrogatives,3,-0.024713436762491835,0.053212476615152944,-0.0279366970062255,"PNB, PNN","MCQA, NLI, SENT"
cũng,còn,Negation/Function words,1,-0.0253465175628662,,-0.0253465175628662,PNT2,MCQA
cùng bọn,với tụi,Pronouns,1,-0.0256452560424804,,-0.0256452560424804,PNT4,SENT
buồn,sầu,Predicate vocabulary,1,-0.0262093544006347,,-0.0262093544006347,PNN,NLI
làm,đã khiến,Predicate vocabulary,1,-0.0265200138092041,,-0.0265200138092041,PNB,QA
người,vị,Predicate vocabulary,1,-0.0268535614013671,,-0.0268535614013671,PNB,MCQA
vâng,nghe,Discourse particles,4,-0.027012825012207,0.0,-0.027012825012207,"PNB, PNN, PNT1, PNT4",MCQA
được,đặng,Connectives/Aspect markers,1,-0.0271029472351074,,-0.0271029472351074,PNN,SENT
đấy,đó,Discourse particles,4,-0.028410851955413804,0.06650423483036143,-0.0008900165557860999,"PNT2, PNT3",SENT
dơ,bẩn,Predicate vocabulary,1,-0.0290288925170898,,-0.0290288925170898,PNT1,SENT
nấp mau,núp nhanh,Predicate vocabulary,1,-0.0295517444610595,,-0.0295517444610595,PNT4,MCQA
ba,bố,Kinship/Honorific terms,1,-0.0303869247436523,,-0.0303869247436523,PNT2,SENT
dịu,bớt,Predicate vocabulary,1,-0.0331485271453857,,-0.0331485271453857,PNT1,MCQA
một nữa số,nửa,Predicate vocabulary,1,-0.0340123176574707,,-0.0340123176574707,PNT3,QA
sự,tính,Predicate vocabulary,1,-0.0341217517852783,,-0.0341217517852783,PNB,NLI
chi,chị,Kinship/Honorific terms,1,-0.0347397327423095,,-0.0347397327423095,PNB,MCQA
cùng,với,Connectives/Aspect markers,3,-0.03511714935302727,0.019015664002163837,-0.0241384506225585,"PNT2, PNT3","MCQA, SENT"
trẻ em,con nít,Predicate vocabulary,2,-0.035168528556823696,0.08991659237532341,-0.035168528556823696,PNN,"MCQA, SENT"
nó vương,hắn vươn,Pronouns,1,-0.0357112884521484,,-0.0357112884521484,PNT3,SENT
thức,đồ,Predicate vocabulary,1,-0.036339521408081,,-0.036339521408081,PNN,MCQA
ấy,nấy,Demonstratives/Deixis,2,-0.0368375778198242,0.0,-0.0368375778198242,"PNN, PNT1",SENT
gàn dở,bị điên,Predicate vocabulary,1,-0.0371043682098388,,-0.0371043682098388,PNT2,MCQA
mắc,bị,Predicate vocabulary,1,-0.0395882129669189,,-0.0395882129669189,PNT1,NLI
thế,rứa,Demonstratives/Deixis,23,-0.039599118025406534,0.19756069419920125,0.0362472534179687,"PNT1, PNT2, PNT3, PNT4","MCQA, SENT"
giúp,giùm,Predicate vocabulary,1,-0.0398252010345459,,-0.0398252010345459,PNT4,MCQA
trả lời,giải đáp,Idiomatic expressions,1,-0.0404620170593261,,-0.0404620170593261,PNB,NLI
thế,như,Demonstratives/Deixis,1,-0.0413556098937988,,-0.0413556098937988,PNN,QA
hiệu,hàng,Predicate vocabulary,1,-0.0417892932891845,,-0.0417892932891845,PNT4,MCQA
không,chuồng,Negation/Function words,1,-0.0424320697784423,,-0.0424320697784423,PNN,MCQA
mắng,bới,Predicate vocabulary,1,-0.0426721572875976,,-0.0426721572875976,PNT1,SENT
đàn,bầy,Predicate vocabulary,2,-0.0426898002624511,0.0,-0.0426898002624511,PNT3,MCQA
thuê,mướn,Predicate vocabulary,2,-0.0429997444152832,0.0,-0.0429997444152832,PNN,MCQA
nông,ruộng,Predicate vocabulary,1,-0.0463061332702636,,-0.0463061332702636,PNN,MCQA
người,quân,Predicate vocabulary,2,-0.0472729206085205,0.0,-0.0472729206085205,"PNB, PNT3",QA
moá,mạ,Kinship/Honorific terms,1,-0.0472846031188964,,-0.0472846031188964,PNT3,SENT
ổ,chuồng,Predicate vocabulary,1,-0.0473837852478027,,-0.0473837852478027,PNB,MCQA
oi bức,nóng nực,Predicate vocabulary,1,-0.0475406646728515,,-0.0475406646728515,PNN,MCQA
vẫn,cũng,Connectives/Aspect markers,1,-0.0492529869079589,,-0.0492529869079589,PNT4,SENT
bà,mẹ,Kinship/Honorific terms,2,-0.0494413375854492,0.0,-0.0494413375854492,"PNT2, PNT4",SENT
điều khiển,lái,Predicate vocabulary,1,-0.0495975017547607,,-0.0495975017547607,PNN,MCQA
gắn,lắp,Predicate vocabulary,1,-0.0498442649841308,,-0.0498442649841308,PNT4,NLI
không khiến,hông làm,Negation/Function words,1,-0.050788402557373,,-0.050788402557373,PNN,SENT
mình lúa,miềng ló,Pronouns,1,-0.051279067993164,,-0.051279067993164,PNT3,SENT
mất,luôn,Predicate vocabulary,1,-0.0515856742858886,,-0.0515856742858886,PNT3,SENT
bãi,bờ,Predicate vocabulary,1,-0.0522365570068359,,-0.0522365570068359,PNT4,MCQA
khá,rất,Predicate vocabulary,1,-0.0522375106811523,,-0.0522375106811523,PNT4,NLI
kiểu như thế nào,rứa rồi,Interrogatives,1,-0.052258014678955,,-0.052258014678955,PNT4,SENT
nữ,con gái,Predicate vocabulary,1,-0.0545272827148437,,-0.0545272827148437,PNN,NLI
tấm,cái,Negation/Function words,1,-0.0551991462707519,,-0.0551991462707519,PNN,MCQA
mang,chở,Predicate vocabulary,1,-0.0555214881896972,,-0.0555214881896972,PNN,MCQA
thành thục,rành rọt,Predicate vocabulary,1,-0.0567362308502197,,-0.0567362308502197,PNN,NLI
thủ,hườm,Predicate vocabulary,1,-0.0591659545898437,,-0.0591659545898437,PNN,SENT
phóng,chích,Predicate vocabulary,1,-0.0601372718811035,,-0.0601372718811035,PNT4,SENT
